20:03:07 [INFO] Opening project at "C:\Users\titoi\OneDrive\Bureau\Travaux\Balthazar\balthazar".
20:03:07 [INFO] Found game object: TutorialLvlEs
20:03:07 [INFO] Found animator state: Idle
20:03:07 [INFO] Found animator state: Idle_Torch
20:03:07 [INFO] Found scene: Exemple
20:03:07 [INFO] Found game object: EventSystem
20:03:07 [INFO] Found game object: Canvas
20:03:07 [INFO] Found game object: SphereBar
20:03:07 [INFO] Found game object: Main Camera
20:03:07 [INFO] Found game object: H8dLMo0
20:03:07 [INFO] Found animator state: DeathScreen
20:03:07 [INFO] Found animator state: Idle
20:03:07 [INFO] Found animator parameter: Start
20:03:07 [INFO] Found animator parameter: End
20:03:07 [INFO] Found animator state: Decharge
20:03:07 [INFO] Found animator parameter: moving
20:03:07 [INFO] Found animator parameter: dead
20:03:07 [INFO] Found animator parameter: rebirth
20:03:07 [INFO] Found animator parameter: attack
20:03:07 [INFO] Found animator state: Death
20:03:07 [INFO] Found animator state: Attack
20:03:07 [INFO] Found animator state: Rebirth
20:03:07 [INFO] Found animator state: Idle
20:03:07 [INFO] Found animator state: Walk
20:03:07 [INFO] Found animator state: Walk
20:03:07 [INFO] Found animator parameter: attack
20:03:07 [INFO] Found animator parameter: moving
20:03:07 [INFO] Found animator parameter: dead
20:03:07 [INFO] Found animator state: Attack
20:03:07 [INFO] Found animator state: Death
20:03:07 [INFO] Found animator state: idle
20:03:07 [INFO] Found animator state: Death
20:03:07 [INFO] Found animator parameter: moving
20:03:07 [INFO] Found animator parameter: dead
20:03:07 [INFO] Found animator parameter: attack
20:03:07 [INFO] Found animator state: Walk
20:03:07 [INFO] Found animator state: Idle
20:03:07 [INFO] Found animator state: Attack
20:03:07 [INFO] Found animator parameter: Start
20:03:07 [INFO] Found animator parameter: End
20:03:07 [INFO] Found animator state: Start
20:03:07 [INFO] Found animator state: End
20:03:07 [INFO] Found animator state: Quick 0
20:03:07 [INFO] Found animator parameter: spell
20:03:07 [INFO] Found animator parameter: cast
20:03:07 [INFO] Found animator parameter: speed
20:03:07 [INFO] Found animator state: Long 0
20:03:07 [INFO] Found animator state: Quick
20:03:07 [INFO] Found animator state: Shield 0
20:03:07 [INFO] Found animator state: Long
20:03:07 [INFO] Found animator state: Magic
20:03:07 [INFO] Found animator state: Hidden
20:03:07 [INFO] Found animator state: Shield
20:03:08 [INFO] Found animator state: Falling1
20:03:08 [INFO] Found animator state: Jump
20:03:08 [INFO] Found animator state: Jumping2
20:03:08 [INFO] Found animator state: Falling2
20:03:08 [INFO] Found animator state: Idle
20:03:08 [INFO] Found animator state: Sleep
20:03:08 [INFO] Found animator parameter: xSpeed
20:03:08 [INFO] Found animator parameter: ySpeed
20:03:08 [INFO] Found animator parameter: grounded
20:03:08 [INFO] Found animator parameter: landing
20:03:08 [INFO] Found animator parameter: jump
20:03:08 [INFO] Found animator parameter: cast
20:03:08 [INFO] Found animator state: Slob
20:03:08 [INFO] Found animator state: Jumping1
20:03:08 [INFO] Found animator state: Land
20:03:08 [INFO] Found animator state: Walk
